invoice_id,customer_id,country,currency,invoice_date,product_id,service_category,quantity,unit_price,net_value,tax_rate,tax_amount,total_amount,invoice_status
INV-2024-000001,CUST-2824-IND,DE,EUR,2024-07-01,TAB-MINI,Tablet,4,1101.21,4404.84,0.19,836.92,5241.76,Cancelled
INV-2025-000002,CUST-5506-IND,IN,INR,2025-07-01,SWT-PRO,Smartwatch,22,568.0,12496.0,0.18,2249.28,14745.28,Cancelled
INV-2024-000003,CUST-4657-IND,AU,AUD,2024-02-06,HPH-NC,Headphones,20,295.05,5901.0,0.1,590.1,6491.1,Disputed
INV-2024-000004,CUST-2679-ENT,CA,CAD,2024-01-14,CAM-4K,Camera,9,425.24,3827.16,0.13,497.53,4324.69,Paid
INV-2025-000005,CUST-9935-IND,US,USD,2025-09-26,LAP-GAMER,Laptop,2,1097.94,2195.88,0.08,175.67,2371.55,Paid
INV-2025-000006,CUST-7912-IND,US,USD,2025-08-17,CAM-4K,Camera,5,2852.14,14260.7,0.08,1140.86,15401.56,Paid
INV-2024-000007,CUST-1488-IND,US,USD,2024-06-07,GPU-RDNA,GPU,13,1435.93,18667.09,0.08,1493.37,20160.46,Pending
INV-2025-000008,CUST-4582-IND,IN,INR,2025-05-08,SSD-1TB,SSD,31,254.52,7890.12,0.18,1420.22,9310.34,Disputed
INV-2024-000009,CUST-9279-ENT,CA,CAD,2024-11-24,SWT-FIT,Smartwatch,6,157.9,947.4,0.13,123.16,1070.56,Paid
INV-2025-000010,CUST-1434-ENT,AU,AUD,2025-09-05,TAB-MINI,Tablet,15,650.6,9759.0,0.1,975.9,10734.9,Paid
INV-2024-000011,CUST-4257-ENT,US,USD,2024-03-23,MON-FHD24,Monitor,3,392.31,1176.93,0.08,94.15,1271.08,Paid
INV-2025-000012,CUST-9928-SMB,IN,INR,2025-07-09,PHN-PRO,Smartphone,13,806.04,10478.52,0.18,1886.13,12364.65,Paid
INV-2025-000013,CUST-4611-SMB,SG,SGD,2025-08-02,MON-4K27,Monitor,5,877.46,4387.3,0.08,350.98,4738.28,Paid
INV-2025-000014,CUST-5557-IND,US,USD,2025-07-13,PHN-PRO,Smartphone,16,466.15,7458.4,0.08,596.67,8055.07,Pending
INV-2025-000015,CUST-3615-ENT,US,USD,2025-07-22,MON-4K27,Monitor,13,890.97,11582.61,0.08,926.61,12509.22,Paid
INV-2025-000016,CUST-7924-SMB,US,USD,2025-08-09,SWT-PRO,Smartwatch,9,357.1,3213.9,0.08,257.11,3471.01,Paid
INV-2024-000017,CUST-5552-IND,UK,GBP,2024-01-22,SWT-FIT,Smartwatch,5,332.6,1663.0,0.2,332.6,1995.6,Cancelled
INV-2024-000018,CUST-4527-SMB,FR,EUR,2024-05-11,SSD-1TB,SSD,24,132.61,3182.64,0.2,636.53,3819.17,Paid
INV-2025-000019,CUST-2674-IND,DE,EUR,2025-04-09,CAM-DSLR,Camera,9,1604.29,14438.61,0.19,2743.34,17181.95,Paid
INV-2025-000020,CUST-7224-IND,UK,GBP,2025-03-31,TAB-PRO,Tablet,8,780.19,6241.52,0.2,1248.3,7489.82,Paid
INV-2024-000021,CUST-6881-SMB,CA,CAD,2024-10-28,CAM-DSLR,Camera,4,364.74,1458.96,0.13,189.66,1648.62,Paid
INV-2024-000022,CUST-5333-IND,US,USD,2024-09-23,GPU-RTX,GPU,12,1668.52,20022.24,0.08,1601.78,21624.02,Paid
INV-2025-000023,CUST-8527-ENT,UK,GBP,2025-01-29,LAP-BIZ,Laptop,5,867.76,4338.8,0.2,867.76,5206.56,Paid
INV-2024-000024,CUST-3045-SMB,UK,GBP,2024-04-29,HPH-SPORT,Headphones,40,307.69,12307.6,0.2,2461.52,14769.12,Paid
INV-2024-000025,CUST-2291-ENT,DE,EUR,2024-09-02,SSD-512G,SSD,23,97.84,2250.32,0.19,427.56,2677.88,Paid
INV-2025-000026,CUST-5803-ENT,JP,JPY,2025-07-21,GPU-RTX,GPU,13,1741.53,22639.89,0.1,2263.99,24903.88,Paid
INV-2024-000027,CUST-6925-ENT,US,USD,2024-02-07,LAP-ULTRA,Laptop,2,769.78,1539.56,0.08,123.16,1662.72,Paid
INV-2024-000028,CUST-4150-ENT,FR,EUR,2024-09-01,CAM-DSLR,Camera,2,1516.93,3033.86,0.2,606.77,3640.63,Paid
INV-2024-000029,CUST-2139-IND,CA,CAD,2024-01-21,TAB-MINI,Tablet,11,623.91,6863.01,0.13,892.19,7755.2,Paid
INV-2024-000030,CUST-4733-SMB,US,USD,2024-04-19,LAP-ULTRA,Laptop,6,1987.4,11924.4,0.08,953.95,12878.35,Paid
INV-2025-000031,CUST-2307-IND,CA,CAD,2025-08-28,HPH-SPORT,Headphones,31,331.78,10285.18,0.13,1337.07,11622.25,Paid
INV-2025-000032,CUST-2654-SMB,US,USD,2025-01-28,PHN-PRO,Smartphone,9,301.11,2709.99,0.08,216.8,2926.79,Paid
INV-2025-000033,CUST-5554-SMB,US,USD,2025-02-13,MON-4K27,Monitor,23,405.03,9315.69,0.08,745.26,10060.95,Paid
INV-2024-000034,CUST-6977-IND,IN,INR,2024-01-08,GPU-RDNA,GPU,12,1155.35,13864.2,0.18,2495.56,16359.76,Paid
INV-2025-000035,CUST-7065-SMB,IN,INR,2025-03-19,SWT-PRO,Smartwatch,7,597.37,4181.59,0.18,752.69,4934.28,Paid
INV-2024-000036,CUST-4432-ENT,JP,JPY,2024-11-23,SWT-PRO,Smartwatch,20,501.52,10030.4,0.1,1003.04,11033.44,Cancelled
INV-2024-000037,CUST-5374-ENT,UK,GBP,2024-10-16,GPU-RDNA,GPU,10,1116.41,11164.1,0.2,2232.82,13396.92,Disputed
INV-2025-000038,CUST-2169-ENT,US,USD,2025-05-25,TAB-PRO,Tablet,15,931.11,13966.65,0.08,1117.33,15083.98,Paid
INV-2024-000039,CUST-3803-ENT,AU,AUD,2024-12-26,LAP-GAMER,Laptop,1,1353.72,1353.72,0.1,135.37,1489.09,Paid
INV-2025-000040,CUST-5010-IND,DE,EUR,2025-08-21,PHN-FOLD,Smartphone,8,1273.41,10187.28,0.19,1935.58,12122.86,Paid
INV-2024-000041,CUST-8573-SMB,US,USD,2024-08-06,TAB-PRO,Tablet,2,263.07,526.14,0.08,42.09,568.23,Paid
INV-2025-000042,CUST-5422-ENT,FR,EUR,2025-02-09,TAB-MINI,Tablet,8,427.7,3421.6,0.2,684.32,4105.92,Paid
INV-2025-000043,CUST-4598-ENT,US,USD,2025-09-12,LAP-GAMER,Laptop,6,842.47,5054.82,0.08,404.39,5459.21,Paid
INV-2024-000044,CUST-6313-IND,IN,INR,2024-08-07,PHN-LITE,Smartphone,14,702.1,9829.4,0.18,1769.29,11598.69,Pending
INV-2025-000045,CUST-4752-IND,UK,GBP,2025-08-17,CAM-4K,Camera,4,2544.13,10176.52,0.2,2035.3,12211.82,Disputed
INV-2024-000046,CUST-6168-SMB,CA,CAD,2024-04-16,CON-NEXT,Console,9,529.57,4766.13,0.13,619.6,5385.73,Paid
INV-2025-000047,CUST-5386-IND,UK,GBP,2025-08-03,SWT-PRO,Smartwatch,9,455.16,4096.44,0.2,819.29,4915.73,Paid
INV-2025-000048,CUST-4456-ENT,FR,EUR,2025-08-31,MON-4K27,Monitor,16,368.92,5902.72,0.2,1180.54,7083.26,Paid
INV-2024-000049,CUST-6155-IND,FR,EUR,2024-10-12,TAB-PRO,Tablet,14,860.12,12041.68,0.2,2408.34,14450.02,Paid
INV-2024-000050,CUST-9179-SMB,US,USD,2024-01-08,CON-NEXT,Console,8,653.71,5229.68,0.08,418.37,5648.05,Disputed
INV-2024-000051,CUST-8517-IND,IN,INR,2024-07-07,GPU-RDNA,GPU,7,784.22,5489.54,0.18,988.12,6477.66,Paid
INV-2024-000052,CUST-5339-IND,JP,JPY,2024-03-21,CAM-4K,Camera,6,1127.05,6762.3,0.1,676.23,7438.53,Paid
INV-2024-000053,CUST-5040-ENT,IN,INR,2024-04-17,GPU-RTX,GPU,8,434.54,3476.32,0.18,625.74,4102.06,Paid
INV-2024-000054,CUST-9830-SMB,IN,INR,2024-11-16,TAB-PRO,Tablet,1,213.12,213.12,0.18,38.36,251.48,Paid
INV-2025-000055,CUST-8019-ENT,CA,CAD,2025-08-01,MON-FHD24,Monitor,26,666.71,17334.46,0.13,2253.48,19587.94,Paid
INV-2024-000056,CUST-7543-SMB,IN,INR,2024-12-11,PHN-LITE,Smartphone,6,1172.12,7032.72,0.18,1265.89,8298.61,Paid
INV-2024-000057,CUST-4593-IND,US,USD,2024-11-23,SSD-2TB,SSD,29,272.43,7900.47,0.08,632.04,8532.51,Paid
INV-2025-000058,CUST-9348-SMB,US,USD,2025-07-08,TAB-PRO,Tablet,7,983.24,6882.68,0.08,550.61,7433.29,Paid
INV-2024-000059,CUST-2489-IND,US,USD,2024-10-28,HPH-SPORT,Headphones,18,267.12,4808.16,0.08,384.65,5192.81,Paid
INV-2024-000060,CUST-2796-IND,UK,GBP,2024-07-18,LAP-ULTRA,Laptop,7,2175.4,15227.8,0.2,3045.56,18273.36,Paid
INV-2025-000061,CUST-3621-ENT,DE,EUR,2025-02-22,LAP-ULTRA,Laptop,4,1266.7,5066.8,0.19,962.69,6029.49,Paid
INV-2024-000062,CUST-7916-ENT,UK,GBP,2024-02-08,LAP-BIZ,Laptop,3,1139.22,3417.66,0.2,683.53,4101.19,Paid
INV-2024-000063,CUST-2040-SMB,SG,SGD,2024-11-02,SSD-2TB,SSD,40,69.94,2797.6,0.08,223.81,3021.41,Cancelled
INV-2024-000064,CUST-7252-ENT,UK,GBP,2024-01-04,CON-LITE,Console,4,560.45,2241.8,0.2,448.36,2690.16,Paid
INV-2025-000065,CUST-8668-ENT,UK,GBP,2025-09-24,SSD-2TB,SSD,22,178.9,3935.8,0.2,787.16,4722.96,Paid
INV-2024-000066,CUST-5119-ENT,FR,EUR,2024-03-17,MON-FHD24,Monitor,10,335.58,3355.8,0.2,671.16,4026.96,Disputed
INV-2025-000067,CUST-1188-ENT,US,USD,2025-04-12,PHN-LITE,Smartphone,16,1251.52,20024.32,0.08,1601.95,21626.27,Cancelled
INV-2024-000068,CUST-2876-ENT,JP,JPY,2024-06-27,CON-LITE,Console,6,608.41,3650.46,0.1,365.05,4015.51,Pending
INV-2024-000069,CUST-9797-SMB,US,USD,2024-10-02,SSD-2TB,SSD,12,82.27,987.24,0.08,78.98,1066.22,Paid
INV-2024-000070,CUST-6573-IND,IN,INR,2024-05-31,GPU-RTX,GPU,15,614.85,9222.75,0.18,1660.1,10882.85,Paid
INV-2024-000071,CUST-5808-SMB,JP,JPY,2024-06-12,HPH-SPORT,Headphones,47,251.72,11830.84,0.1,1183.08,13013.92,Paid
INV-2024-000072,CUST-3591-SMB,US,USD,2024-10-16,CON-NEXT,Console,5,279.56,1397.8,0.08,111.82,1509.62,Pending
INV-2025-000073,CUST-1053-ENT,US,USD,2025-01-12,TAB-MINI,Tablet,3,765.49,2296.47,0.08,183.72,2480.19,Paid
INV-2025-000074,CUST-5315-ENT,SG,SGD,2025-09-12,CON-LITE,Console,7,307.35,2151.45,0.08,172.12,2323.57,Paid
INV-2025-000075,CUST-3927-ENT,AU,AUD,2025-09-29,LAP-ULTRA,Laptop,10,1038.1,10381.0,0.1,1038.1,11419.1,Paid
INV-2024-000076,CUST-2743-ENT,AU,AUD,2024-11-05,LAP-BIZ,Laptop,8,1404.37,11234.96,0.1,1123.5,12358.46,Paid
INV-2025-000077,CUST-5889-ENT,JP,JPY,2025-01-23,LAP-ULTRA,Laptop,9,1346.46,12118.14,0.1,1211.81,13329.95,Paid
INV-2024-000078,CUST-9317-ENT,US,USD,2024-07-01,SWT-FIT,Smartwatch,19,428.76,8146.44,0.08,651.72,8798.16,Pending
INV-2024-000079,CUST-4258-IND,UK,GBP,2024-11-01,LAP-ULTRA,Laptop,3,894.37,2683.11,0.2,536.62,3219.73,Paid
INV-2024-000080,CUST-7126-IND,US,USD,2024-03-12,LAP-BIZ,Laptop,4,1388.76,5555.04,0.08,444.4,5999.44,Paid
INV-2024-000081,CUST-9837-ENT,IN,INR,2024-08-06,GPU-RTX,GPU,6,1683.9,10103.4,0.18,1818.61,11922.01,Pending
INV-2024-000082,CUST-1009-ENT,CA,CAD,2024-06-21,PHN-LITE,Smartphone,9,716.77,6450.93,0.13,838.62,7289.55,Paid
INV-2024-000083,CUST-6310-SMB,UK,GBP,2024-09-28,GPU-RDNA,GPU,9,885.43,7968.87,0.2,1593.77,9562.64,Paid
INV-2025-000084,CUST-1319-IND,US,USD,2025-04-12,PHN-LITE,Smartphone,3,1015.44,3046.32,0.08,243.71,3290.03,Paid
INV-2024-000085,CUST-6947-SMB,UK,GBP,2024-09-25,TAB-MINI,Tablet,5,414.55,2072.75,0.2,414.55,2487.3,Paid
INV-2024-000086,CUST-4923-IND,UK,GBP,2024-01-20,SWT-FIT,Smartwatch,18,427.51,7695.18,0.2,1539.04,9234.22,Paid
INV-2025-000087,CUST-4946-ENT,AU,AUD,2025-07-31,SWT-FIT,Smartwatch,18,378.12,6806.16,0.1,680.62,7486.78,Paid
INV-2025-000088,CUST-2290-IND,CA,CAD,2025-05-17,SWT-FIT,Smartwatch,9,166.82,1501.38,0.13,195.18,1696.56,Disputed
INV-2024-000089,CUST-8962-IND,IN,INR,2024-05-26,SSD-2TB,SSD,31,234.08,7256.48,0.18,1306.17,8562.65,Disputed
INV-2025-000090,CUST-9727-IND,DE,EUR,2025-03-04,PHN-PRO,Smartphone,7,429.08,3003.56,0.19,570.68,3574.24,Paid
INV-2024-000091,CUST-3103-ENT,US,USD,2024-06-13,CAM-4K,Camera,6,650.66,3903.96,0.08,312.32,4216.28,Paid
INV-2024-000092,CUST-8787-ENT,AU,AUD,2024-11-05,PHN-LITE,Smartphone,19,1172.73,22281.87,0.1,2228.19,24510.06,Paid
INV-2025-000093,CUST-3705-SMB,JP,JPY,2025-06-01,LAP-GAMER,Laptop,9,840.38,7563.42,0.1,756.34,8319.76,Paid
INV-2024-000094,CUST-9645-ENT,FR,EUR,2024-01-14,PHN-PRO,Smartphone,13,1254.1,16303.3,0.2,3260.66,19563.96,Paid
INV-2024-000095,CUST-7932-IND,JP,JPY,2024-05-11,SWT-FIT,Smartwatch,7,156.46,1095.22,0.1,109.52,1204.74,Paid
INV-2025-000096,CUST-9835-ENT,FR,EUR,2025-03-14,GPU-RDNA,GPU,12,649.29,7791.48,0.2,1558.3,9349.78,Paid
INV-2024-000097,CUST-4295-ENT,FR,EUR,2024-09-19,PHN-PRO,Smartphone,16,1067.02,17072.32,0.2,3414.46,20486.78,Paid
INV-2024-000098,CUST-6107-SMB,DE,EUR,2024-08-12,LAP-GAMER,Laptop,7,1735.03,12145.21,0.19,2307.59,14452.8,Paid
INV-2024-000099,CUST-7118-SMB,US,USD,2024-09-14,HPH-SPORT,Headphones,3,295.2,885.6,0.08,70.85,956.45,Paid
INV-2024-000100,CUST-9479-SMB,US,USD,2024-08-21,PHN-PRO,Smartphone,4,516.27,2065.08,0.08,165.21,2230.29,Paid
INV-2024-000101,CUST-2982-IND,US,USD,2024-12-01,MON-2K34,Monitor,13,395.81,5145.53,0.08,411.64,5557.17,Paid
INV-2025-000102,CUST-4681-IND,CA,CAD,2025-02-12,SWT-PRO,Smartwatch,9,177.55,1597.95,0.13,207.73,1805.68,Paid
INV-2024-000103,CUST-6539-IND,UK,GBP,2024-01-24,CON-LITE,Console,6,666.92,4001.52,0.2,800.3,4801.82,Disputed
INV-2024-000104,CUST-4770-ENT,FR,EUR,2024-09-27,HPH-SPORT,Headphones,50,274.09,13704.5,0.2,2740.9,16445.4,Paid
INV-2024-000105,CUST-4608-IND,IN,INR,2024-04-04,TAB-PRO,Tablet,3,534.7,1604.1,0.18,288.74,1892.84,Paid
INV-2024-000106,CUST-2163-ENT,US,USD,2024-05-21,HPH-NC,Headphones,12,74.36,892.32,0.08,71.39,963.71,Paid
INV-2024-000107,CUST-1964-IND,DE,EUR,2024-03-21,LAP-BIZ,Laptop,9,2134.3,19208.7,0.19,3649.65,22858.35,Paid
INV-2024-000108,CUST-2104-IND,JP,JPY,2024-09-30,GPU-RTX,GPU,7,1424.83,9973.81,0.1,997.38,10971.19,Paid
INV-2024-000109,CUST-6413-IND,US,USD,2024-10-02,SSD-512G,SSD,2,299.32,598.64,0.08,47.89,646.53,Paid
INV-2025-000110,CUST-9423-IND,US,USD,2025-04-09,SWT-PRO,Smartwatch,18,528.47,9512.46,0.08,761.0,10273.46,Paid
