invoice_id,customer_id,country,currency,invoice_date,product_id,service_category,quantity,unit_price,net_value,tax_rate,tax_amount,total_amount,invoice_status
INV-2024-0001,CUST-1023-ENT,DE,EUR,2024-09-10,LAP-ULTRA,Laptop,5,1200.0,6000.0,0.08,480.0,6480.0,Paid
INV-2024-0002,CUST-4587-SMB,US,USD,2024-08-15,PHN-PRO,Smartphone,10,800.0,8000.0,0.2,1600.0,9600.0,Paid
INV-2024-0003,CUST-2098-IND,UK,GBP,2024-07-20,SSD-1TB,SSD,4,500.0,5000.0,0.2,1000.0,6000.0,Paid
INV-2024-0004,CUST-3890-SMB,FR,EUR,2024-06-22,HPH-NC,Headphones,20,50.0,4000.0,0.2,800.0,4800.0,Paid
INV-2024-0005,CUST-5671-ENT,CA,EUR,2024-09-12,GPU-RTX,GPU,8,300.0,2400.0,0.13,312.0,2712.0,Paid
INV-2024-0006,CUST-9980-IND,IN,USD,2024-08-11,MON-4K27,Monitor,12,150.0,1800.0,0.18,324.0,2124.0,Paid
INV-2024-0007,CUST-1567-SMB,SG,SGD,2024-09-05,TAB-PRO,Tablet,5000,2.0,10000.0,0.08,800.0,10800.0,Paid
INV-2024-0008,CUST-3312-ENT,AU,AUD,2024-07-14,SWT-FIT,Smartwatch,3000,1.5,4500.0,0.1,450.0,4950.0,Paid
INV-2024-0009,CUST-6754-ENT,US,USD,2024-06-02,CAM-4K,Camera,15,100.0,1500.0,0.08,120.0,2300.0,Paid
INV-2024-0010,CUST-4821-IND,DE,EUR,2024-05-25,CON-NEXT,Console,7,200.0,1400.0,0.19,266.0,1000.0,Paid
